Queries,No of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,2,20.0,1.0
Query2,2,20.0,-25.0
Query3,0,0.0,0
Query4,2,20.0,-63.0
Query5,1,10.0,0
Query6,4,40.0,-7.199999999999999
Query7,2,20.0,-1.0
Query8,2,20.0,-8.0
Query9,0,0.0,0
Query10,1,10.0,0
Query11,5,50.0,0.6
Query12,2,20.0,-19.0
Query13,5,50.0,-1.0499999999999998
Query14,4,40.0,-3.5
Query15,2,20.0,-17.0
Query16,0,0.0,0
Query17,2,20.0,-52.0
Query18,0,0.0,0
Query19,5,50.0,-0.75
Query20,4,40.0,-4.7
Query21,2,20.0,-1.0
Query22,0,0.0,0
Query23,2,20.0,-19.0
Query24,2,20.0,-12.0
Query25,2,20.0,-57.0
Query26,5,50.0,-2.1
Query27,0,0.0,0
Query28,3,30.0,0.5
Query29,1,10.0,0
Query30,2,20.0,-7.0
Query31,2,20.0,-80.0
Query32,1,10.0,0
Query33,1,10.0,0
Query34,2,20.0,-4.0
Query35,0,0.0,0
Query36,0,0.0,0
Query37,2,20.0,-16.0
Query38,3,30.0,-17.5
Query39,2,20.0,0.0
Query40,0,0.0,0
Query41,3,30.0,-9.25
Query42,1,10.0,1
Query43,2,20.0,-64.0
Query44,0,0.0,0
Query45,1,10.0,0
Query46,2,20.0,-4.0
Query47,0,0.0,0
Query48,1,10.0,0
Query49,2,20.0,-15.0
Query50,2,20.0,-1.0
Query51,4,40.0,-1.0
Query52,2,20.0,-35.0
Query53,0,0.0,0
Query54,2,20.0,-9.0
Query55,1,10.0,0
Query56,3,30.0,-5.5
Query57,1,10.0,0
Query58,0,0.0,0
Query59,1,10.0,0
Query60,1,10.0,0
Query61,2,20.0,-73.0
Query62,7,70.0,-1.3571428571428572
Query63,3,30.0,-12.25
Query64,3,30.0,-5.5
Query65,4,40.0,-4.8
Query66,2,20.0,-15.0
Query67,1,10.0,1
Query68,3,30.0,-6.25
Query69,0,0.0,0
Query70,2,20.0,-3.0
Query71,0,0.0,0
Query72,3,30.0,-15.25
Query73,3,30.0,-1.25
Query74,0,0.0,0
Query75,2,20.0,-39.0
Query76,1,10.0,1
Query77,4,40.0,0.9
Query78,2,20.0,-4.0
Query79,1,10.0,0
Query80,1,10.0,0
Query81,2,20.0,-1.0
Query82,1,10.0,1
Query83,1,10.0,1
Query84,1,10.0,0
Query85,2,20.0,-3.0
Query86,2,20.0,0.0
Query87,3,30.0,-5.5
Query88,1,10.0,1
Query89,3,30.0,1.0
Query90,1,10.0,0
Query91,4,40.0,-1.6
Query92,0,0.0,0
Query93,3,30.0,-1.75
Query94,5,50.0,0.7
Query95,0,0.0,0
Query96,1,10.0,0
Query97,1,10.0,1
Query98,2,20.0,-4.0
Query99,0,0.0,0
Query100,2,20.0,-9.0
Averages,Average No.of Overlapping Results,Average Percent Overlap,Average Spearman Coefficient
 ,1.85,18.499999999999996,-7.563571428571429
